"id"	"trader_id"	"exchange_id"	"exchange_type"	"order_id"	"exchange_order_id"	"exchange_trade_id"	"symbol"	"side"	"price"	"quantity"	"quote_quantity"	"commission"	"commission_asset"	"realized_pnl"	"is_maker"	"created_at"
"17"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"17"	"126379808"	"126379808"	"POWERUSDT"	"BUY"	"0.78056"	"17"	"13.26952"	"0.00663476"	"USDT"	"0"	"0"	"1772026457897"
"18"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"18"	"127732409"	"127732409"	"POWERUSDT"	"SELL"	"0.85659"	"30"	"25.6977"	"0.01284885"	"USDT"	"2.2809"	"0"	"1772032208357"
"19"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"19"	"127831151"	"127831151"	"POWERUSDT"	"BUY"	"0.85757"	"12"	"10.29084"	"0.00514542"	"USDT"	"0"	"0"	"1772032763581"
"20"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"20"	"127831152"	"127831152"	"POWERUSDT"	"BUY"	"0.85757"	"33"	"28.29981"	"0.0141499"	"USDT"	"0"	"0"	"1772032763581"
"21"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"21"	"127831153"	"127831153"	"POWERUSDT"	"BUY"	"0.8576"	"3"	"2.5728"	"0.0012864"	"USDT"	"0"	"0"	"1772032763581"
"22"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"22"	"128427295"	"128427295"	"POWERUSDT"	"SELL"	"0.87578"	"48"	"42.03744"	"0.02101872"	"USDT"	"0.87399"	"0"	"1772035807889"
"23"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"23"	"544597847"	"544597847"	"CRVUSDT"	"BUY"	"0.255"	"137.8"	"35.139"	"0.01756949"	"USDT"	"0"	"0"	"1772036372793"
"24"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"24"	"544602619"	"544602619"	"CRVUSDT"	"SELL"	"0.256"	"137.8"	"35.2768"	"0.01763839"	"USDT"	"0.1378"	"0"	"1772039047000"
"25"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"25"	"111167661"	"111167661"	"KITEUSDT"	"BUY"	"0.26712"	"74"	"19.76688"	"0.00988344"	"USDT"	"0"	"0"	"1772039965533"
"26"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"26"	"111190410"	"111190410"	"KITEUSDT"	"SELL"	"0.26874"	"74"	"19.88676"	"0.00994338"	"USDT"	"0.11988"	"0"	"1772040843200"
"27"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"27"	"130220275"	"130220275"	"POWERUSDT"	"BUY"	"0.93961"	"11"	"10.33571"	"0.00516785"	"USDT"	"0"	"0"	"1772042722580"
"28"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"28"	"130220276"	"130220276"	"POWERUSDT"	"BUY"	"0.93963"	"22"	"20.67186"	"0.01033593"	"USDT"	"0"	"0"	"1772042722580"
"29"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"29"	"130220277"	"130220277"	"POWERUSDT"	"BUY"	"0.93965"	"11"	"10.33615"	"0.00516807"	"USDT"	"0"	"0"	"1772042722580"
"30"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"30"	"130220278"	"130220278"	"POWERUSDT"	"BUY"	"0.93967"	"2"	"1.87934"	"0.00093967"	"USDT"	"0"	"0"	"1772042722580"
"31"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"31"	"130759292"	"130759292"	"POWERUSDT"	"SELL"	"0.88"	"46"	"40.48"	"0.02024"	"USDT"	"-2.74305999"	"0"	"1772046541151"
"32"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"32"	"884275173"	"884275173"	"XLMUSDT"	"BUY"	"0.16482"	"185"	"30.4917"	"0.01524585"	"USDT"	"0"	"0"	"1772047167056"
"33"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"33"	"884279560"	"884279560"	"XLMUSDT"	"SELL"	"0.16495"	"185"	"30.51575"	"0.01525787"	"USDT"	"0.02405"	"0"	"1772048042981"
"34"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"34"	"131050299"	"131050299"	"POWERUSDT"	"BUY"	"0.92918"	"7"	"6.50426"	"0.00325213"	"USDT"	"0"	"0"	"1772048960720"
"35"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"35"	"131050300"	"131050300"	"POWERUSDT"	"BUY"	"0.92919"	"11"	"10.22109"	"0.00511054"	"USDT"	"0"	"0"	"1772048960720"
"36"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"36"	"131050301"	"131050301"	"POWERUSDT"	"BUY"	"0.92919"	"17"	"15.79623"	"0.00789811"	"USDT"	"0"	"0"	"1772048960720"
"37"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"37"	"131365232"	"131365232"	"POWERUSDT"	"SELL"	"0.90324"	"35"	"31.6134"	"0.0158067"	"USDT"	"-0.90818"	"0"	"1772052548197"
"38"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"38"	"106847064"	"106847064"	"BARDUSDT"	"BUY"	"0.8051"	"13"	"10.4663"	"0.00523315"	"USDT"	"0"	"0"	"1772054362076"
"39"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"39"	"106847065"	"106847065"	"BARDUSDT"	"BUY"	"0.8051"	"28"	"22.5428"	"0.0112714"	"USDT"	"0"	"0"	"1772054362076"
"40"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"40"	"106887579"	"106887579"	"BARDUSDT"	"SELL"	"0.7678"	"41"	"31.4798"	"0.0157399"	"USDT"	"-1.5293"	"0"	"1772055010430"
"41"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"41"	"1209325873"	"1209325873"	"WIFUSDT"	"BUY"	"0.2235"	"143.4"	"32.0499"	"0.01602495"	"USDT"	"0"	"0"	"1772055255026"
"42"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"42"	"1209369536"	"1209369536"	"WIFUSDT"	"SELL"	"0.2173"	"143.4"	"31.16082"	"0.01558041"	"USDT"	"-0.88908"	"0"	"1772061548008"
"43"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"43"	"39326303"	"39326303"	"ESPUSDT"	"BUY"	"0.15647"	"59"	"9.23173"	"0.00461586"	"USDT"	"0"	"0"	"1772062450673"
"44"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"44"	"39326304"	"39326304"	"ESPUSDT"	"BUY"	"0.15647"	"65"	"10.17055"	"0.00508527"	"USDT"	"0"	"0"	"1772062450673"
"45"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"45"	"39326305"	"39326305"	"ESPUSDT"	"BUY"	"0.15647"	"45"	"7.04115"	"0.00352057"	"USDT"	"0"	"0"	"1772062450673"
"46"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"46"	"39397015"	"39397015"	"ESPUSDT"	"SELL"	"0.15913"	"65"	"10.34345"	"0.00517172"	"USDT"	"0.1729"	"0"	"1772063347049"
"47"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"47"	"39397016"	"39397016"	"ESPUSDT"	"SELL"	"0.15912"	"63"	"10.02456"	"0.00501228"	"USDT"	"0.16695"	"0"	"1772063347049"
